Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Qd7XC9csaFz3dogXXhrVM,"Relapse","Manic","Wage War",2021-10-01,179266,53,false,21rrrptu6n3eywblqb6xp5xuy,2023-03-31T18:12:21Z,"metalcore,metal,deathcore,djent","Fearless Records",0.496,0.962,1,-4.087,1,0.11,0.000188,0.0000476,0.306,0.174,112.53,4
spotify:track:2HcM2zleoPAhUn2rCh1Egb,"Luminosity","Hyperdialect","Hacktivist",2021-06-18,196453,0,false,21rrrptu6n3eywblqb6xp5xuy,2023-04-01T10:10:07Z,"djent,rap metal,progressive metal,metalcore,rap rock","UNFD",0.461,0.988,1,-3.022,1,0.257,0.00163,0.00000236,0.129,0.35,138.857,4
spotify:track:5qUVlPz3UBvKHIjesrNmq2,"Anaraak","Relationships","Shrezzers,Ronnie Canizaro",2019-01-04,227054,0,false,21rrrptu6n3eywblqb6xp5xuy,2023-04-01T01:13:19Z,"djent,post-hardcore,metalcore","Gentlepunks Inc.",0.128,0.886,2,-2.181,0,0.104,0.000139,0.00115,0.203,0.19,146.052,4
spotify:track:5qD3Qv8Wu3r5uRD0DahcZy,"Bow Down","TRAUMA","I Prevail",2019-03-29,242680,69,true,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:38:02Z,"metalcore","Fearless Records",0.426,0.959,0,-4.95,1,0.0525,0.0000536,0.00000654,0.707,0.372,155.01,4
spotify:track:6dwBUvVZLnufu08H77OX8d,"Momentary","Dissonants","Hands Like Houses",2016-02-26,194853,0,false,21rrrptu6n3eywblqb6xp5xuy,2020-12-16T22:26:43Z,"post-hardcore,metalcore","Rise Records",0.47,0.9,8,-4.854,0,0.0542,0.0179,0.000978,0.0974,0.456,161.955,4
spotify:track:6V5RvNdSqdEDshRKhsiCEH,"All of This Is Fleeting","The Death of Me","Polaris",2020-02-21,236380,61,false,21rrrptu6n3eywblqb6xp5xuy,2020-12-16T14:46:45Z,"metalcore,djent,metal,deathcore,post-hardcore","SHARPTONE",0.486,0.953,8,-3.468,0,0.0878,0.000139,0.00243,0.14,0.592,138.032,4
spotify:track:5HDr0GYxwR384IWQtflP95,"The Mile","Dead Letter Circus","Dead Letter Circus",2007-05-12,204653,39,false,21rrrptu6n3eywblqb6xp5xuy,2022-10-07T15:17:14Z,"progressive rock,progressive metal,djent","3Massive Records",0.483,0.92,5,-3.344,0,0.104,0.0000392,0.00135,0.594,0.564,138.962,4
spotify:track:4BhRhK2epscKTbEfPwJw67,"Vibrant","Vibrant","Time The Valuator",2019-06-07,259847,34,false,21rrrptu6n3eywblqb6xp5xuy,2021-03-29T03:46:49Z,"djent,progressive metal,metalcore","Long Branch Records",0.256,0.934,1,-6.12,1,0.151,0.00144,0.0000105,0.135,0.341,122.104,4
spotify:track:6tRneEcItwpSxBtqgem5Dr,"THE DEATH OF PEACE OF MIND","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,241499,78,true,21rrrptu6n3eywblqb6xp5xuy,2023-03-22T21:23:21Z,"metalcore","Sumerian Records",0.469,0.713,0,-5.619,0,0.0461,0.0869,0.000188,0.129,0.267,154.994,4
spotify:track:5eIUpHTsde5tATNfAMWxmL,"Dream Sequence","The Last One","Circles",2018-08-31,288598,30,false,21rrrptu6n3eywblqb6xp5xuy,2025-07-01T11:23:31Z,"djent,progressive metal","Wild Thing Records",0.3,0.932,6,-4.761,1,0.0778,0.000421,0.000908,0.509,0.446,162.739,4
