Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1WZVnw0YWc7OLkVijEargx,"Redneck","Sacrament (15th Anniversary Edition)","Lamb of God",2006-08-22,220880,67,true,21rrrptu6n3eywblqb6xp5xuy,2024-08-09T16:46:13Z,"groove metal,metal,heavy metal,nu metal,death metal","Epic/Legacy",0.513,0.995,6,-3.384,0,0.165,0.0000806,0.0000113,0.364,0.0401,130.97,4
spotify:track:0Aq5S8Did22z1YrpO7MJIG,"Walk with Me In Hell","Sacrament (15th Anniversary Edition)","Lamb of God",2006-08-22,311266,62,false,21rrrptu6n3eywblqb6xp5xuy,2024-08-09T16:46:09Z,"groove metal,metal,heavy metal,nu metal,death metal","Epic/Legacy",0.272,0.984,0,-4.546,0,0.137,0.0000701,0.00345,0.345,0.0946,110.336,4
spotify:track:2hYjtvY9ppeDodbSjeEJ5F,"In Your Words","Wrath (Deluxe Edition)","Lamb of God",2009-02-23,324666,29,false,21rrrptu6n3eywblqb6xp5xuy,2024-08-09T16:46:51Z,"groove metal,metal,heavy metal,nu metal,death metal","Nuclear Blast",0.423,0.969,2,-3.12,1,0.194,0.000043,0.279,0.37,0.0696,112.315,3
spotify:track:6PrKZUXJPmBiobMN44yR8Y,"The Ecstasy Of Gold - 2004 Remaster","The Good The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]","Ennio Morricone",1967,203226,64,false,21rrrptu6n3eywblqb6xp5xuy,2024-08-17T22:36:48Z,"","Capitol Records",0.134,0.474,9,-13.864,0,0.0518,0.826,0.58,0.195,0.133,98.854,4
spotify:track:1Vej0qeQ3ioKwpI6FUbRv1,"Papercut","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,184866,82,false,21rrrptu6n3eywblqb6xp5xuy,2024-08-10T18:01:05Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.524,0.939,9,-3.994,1,0.113,0.00022,0,0.623,0.661,150.184,4
spotify:track:3K4HG9evC7dg3N0R9cYqk4,"One Step Closer","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,157333,86,false,21rrrptu6n3eywblqb6xp5xuy,2024-08-10T18:04:21Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.492,0.969,9,-4.419,1,0.0491,0.0014,0.00000132,0.0787,0.538,95.136,4
spotify:track:60a0Rd6pjrkxjPbaKzXjfq,"In the End","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,216880,92,false,21rrrptu6n3eywblqb6xp5xuy,2024-08-10T18:05:58Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4
spotify:track:12ucsy3k4M5KfUeurgstuz,"Marigold","Periphery III: Select Difficulty","Periphery",2016-07-26,439840,46,true,21rrrptu6n3eywblqb6xp5xuy,2024-08-09T17:03:38Z,"djent,progressive metal,metalcore,metal","Many Hats Distribution",0.417,0.95,0,-5.78,0,0.171,0.00202,0.000518,0.105,0.0676,106.585,4
spotify:track:3FI0iAAAjmR31xpZEwbdys,"Circle With Me","Eternal Blue","Spiritbox",2021-09-17,233880,73,false,21rrrptu6n3eywblqb6xp5xuy,2024-09-26T20:11:17Z,"metalcore,djent,metal","Rise Records",0.422,0.874,8,-4.606,0,0.0534,0.000166,0.231,0.143,0.392,102.743,4
spotify:track:21eMasL93nEafqRwlI851z,"The Apparition","Take Me Back To Eden","Sleep Token",2023-05-19,268159,74,false,21rrrptu6n3eywblqb6xp5xuy,2024-11-04T15:31:56Z,"progressive metal,metalcore","Spinefarm",0.452,0.687,1,-6.939,0,0.0456,0.0112,0.0000641,0.294,0.215,137.98,4
spotify:track:0B4YX3OMtZSmPm9KpiZKl2,"Alkaline","This Place Will Become Your Tomb","Sleep Token",2021-09-24,214106,76,false,21rrrptu6n3eywblqb6xp5xuy,2024-11-04T15:31:40Z,"progressive metal,metalcore","Spinefarm",0.488,0.82,3,-8.298,0,0.151,0.00999,0.000067,0.108,0.0486,148.068,4
spotify:track:1Uifdytv882RtTn6Gr4xAA,"Chokehold","Take Me Back To Eden","Sleep Token",2023-05-19,304023,74,false,21rrrptu6n3eywblqb6xp5xuy,2024-11-04T15:41:12Z,"progressive metal,metalcore","Spinefarm",0.18,0.73,0,-5.597,1,0.0581,0.0112,0.0000458,0.101,0.169,73.588,5
spotify:track:2KGCOtaTbNIbwrxS0a2UMv,"Choke","Cannibal","Bury Tomorrow",2020-07-03,227440,59,false,21rrrptu6n3eywblqb6xp5xuy,2024-11-27T22:10:15Z,"metalcore,metal,deathcore,post-hardcore","Music For Nations",0.503,0.981,1,-5.701,1,0.0936,0.000682,0.0000906,0.194,0.34,124.91,4
spotify:track:5ohfpKB5tt275f4Y4lQ9F7,"Angel Of Death","Reign In Blood (Expanded)","Slayer",1986-01-01,291773,68,false,21rrrptu6n3eywblqb6xp5xuy,2025-02-04T19:20:25Z,"thrash metal,metal,speed metal,heavy metal,groove metal,death metal","American Recordings Catalog P&D",0.326,0.995,1,-4.38,1,0.147,0.0000941,0.386,0.145,0.092,105.459,4
